id,name,email,phone,email_verified_at,wallet,password,version,teacher_id,image,level,parent_id,account,status,school,gender,fcm,remember_token,classroom,flipbank,id_type,generated_password,saving,credit,trans_id,password_updated,token,first_noti,flipbankname,xp,code,last_lesson_page,ip,created_at,updated_at,account_generated,country,home_state,age
11,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,7,STU011,active,1,Prefer not to say,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-04-09 00:00:00,2023-04-28 00:00:00,STU011,USA,Ohio,12
12,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,28,STU012,active,1,Female,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-03-28 00:00:00,2023-06-08 00:00:00,STU012,Canada,Alberta,12
13,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,21,STU013,active,1,Female,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-08-06 00:00:00,2023-11-20 00:00:00,STU013,Canada,British Columbia,15
14,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,59,STU014,active,2,Male,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-02-26 00:00:00,2023-03-30 00:00:00,STU014,USA,Florida,13
15,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,80,STU015,active,2,Male,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-04-17 00:00:00,2023-10-08 00:00:00,STU015,USA,Texas,10
16,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,30,STU016,active,1,Female,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-06-26 00:00:00,2023-12-13 00:00:00,STU016,Canada,Quebec,15
17,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,79,STU017,active,1,Female,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-10-25 00:00:00,2023-11-14 00:00:00,STU017,USA,Georgia,11
18,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,43,STU018,active,1,Non-binary,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-10-12 00:00:00,2024-03-14 00:00:00,STU018,USA,Michigan,10
19,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,16,STU019,active,2,Male,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-11-05 00:00:00,2024-01-17 00:00:00,STU019,USA,California,10
20,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,94,STU020,active,2,Male,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-12-28 00:00:00,2024-02-06 00:00:00,STU020,USA,Texas,11
21,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,54,STU021,active,1,Prefer not to say,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-09-03 00:00:00,2024-02-01 00:00:00,STU021,Canada,Manitoba,17
22,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,10,STU022,active,1,Male,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-01-20 00:00:00,2023-05-21 00:00:00,STU022,Canada,New Brunswick,17
23,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,53,STU023,active,1,Female,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-11-20 00:00:00,2023-12-12 00:00:00,STU023,Canada,Newfoundland and Labrador,10
24,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,24,STU024,active,2,Female,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-01-09 00:00:00,2023-02-16 00:00:00,STU024,Canada,Newfoundland and Labrador,13
25,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,69,STU025,active,2,Male,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-11-04 00:00:00,2023-11-20 00:00:00,STU025,USA,Illinois,18
26,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,52,STU026,active,1,Female,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-08-29 00:00:00,2023-10-12 00:00:00,STU026,USA,Georgia,15
27,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,46,STU027,active,1,Female,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-11-14 00:00:00,2024-02-04 00:00:00,STU027,USA,Michigan,18
28,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,64,STU028,active,1,Female,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-09-13 00:00:00,2023-11-11 00:00:00,STU028,USA,Michigan,15
29,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,48,STU029,active,2,Male,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-05-12 00:00:00,2023-09-28 00:00:00,STU029,USA,Michigan,18
30,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,99,STU030,active,2,Female,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-04-30 00:00:00,2023-05-17 00:00:00,STU030,USA,North Carolina,10
31,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,85,STU031,active,1,Male,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-10-21 00:00:00,2024-03-10 00:00:00,STU031,Canada,Newfoundland and Labrador,16
32,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,14,STU032,active,1,Male,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-02-26 00:00:00,2023-08-08 00:00:00,STU032,USA,Texas,11
33,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,71,STU033,active,1,Male,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-07-21 00:00:00,2023-10-01 00:00:00,STU033,Canada,Nova Scotia,13
34,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,25,STU034,active,2,Male,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-07-05 00:00:00,2023-09-06 00:00:00,STU034,USA,North Carolina,13
35,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,78,STU035,active,2,Male,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-06-26 00:00:00,2023-10-28 00:00:00,STU035,USA,Illinois,11
36,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,29,STU036,active,1,Male,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-01-10 00:00:00,2023-03-26 00:00:00,STU036,Canada,Manitoba,11
37,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,13,STU037,active,1,Female,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-12-28 00:00:00,2024-04-22 00:00:00,STU037,USA,Georgia,16
38,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,23,STU038,active,1,Male,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-10-17 00:00:00,2024-02-25 00:00:00,STU038,USA,Texas,13
39,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,93,STU039,active,2,Female,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-08-25 00:00:00,2023-12-29 00:00:00,STU039,Canada,Manitoba,15
40,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,1,STU040,active,2,Female,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-11-25 00:00:00,2023-12-16 00:00:00,STU040,USA,Ohio,18
41,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,44,STU041,active,1,Female,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-03-10 00:00:00,2023-07-26 00:00:00,STU041,USA,Florida,15
42,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,57,STU042,active,1,Female,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-02-08 00:00:00,2023-05-07 00:00:00,STU042,Canada,Nova Scotia,14
43,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,90,STU043,active,1,Male,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-04-21 00:00:00,2023-07-01 00:00:00,STU043,Canada,British Columbia,10
44,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,15,STU044,active,2,Male,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-07-26 00:00:00,2023-09-07 00:00:00,STU044,USA,North Carolina,18
45,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,49,STU045,active,2,Female,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-02-08 00:00:00,2023-07-02 00:00:00,STU045,Canada,Manitoba,17
46,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,11,STU046,active,1,Female,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-02-21 00:00:00,2023-07-07 00:00:00,STU046,Canada,New Brunswick,11
47,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,86,STU047,active,1,Male,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-05-08 00:00:00,2023-08-10 00:00:00,STU047,USA,Georgia,13
48,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,17,STU048,active,1,Male,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-07-18 00:00:00,2023-09-22 00:00:00,STU048,USA,Florida,11
49,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,50,STU049,active,2,Female,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-11-01 00:00:00,2024-04-23 00:00:00,STU049,USA,Washington,15
50,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,70,STU050,active,2,Female,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-06-13 00:00:00,2023-12-08 00:00:00,STU050,USA,Florida,16
51,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,63,STU051,active,1,Male,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-12-08 00:00:00,2024-02-28 00:00:00,STU051,USA,Georgia,11
52,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,72,STU052,active,1,Male,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-09-08 00:00:00,2024-01-19 00:00:00,STU052,Canada,Quebec,11
53,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,18,STU053,active,1,Female,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-11-14 00:00:00,2024-03-29 00:00:00,STU053,Canada,Nova Scotia,11
